Country,Code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Asia & Oceania,ASOC,,,,,,,,,,,,543.2,554.9,578.7,608.8,601.1,652.1,680.5,696.3,706.576,727.061,768.25,771.383,822.152,853.556,821.286,807.942,824.756,823.044,796.788,830.538,825.861,787.438,825.163,810.59,812.716,794.128,803.4,808.85,819.937,809.448,822.046,851.074,835.727,,,,,,,,
Australia,AUS,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Austria,AUT,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Belgium,BEL,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Canada,CAN,140,145,174,153,167,144,150,164,161,136,121,128.659,112.215,110.873,128.433,118.522,118.421,143.124,139.815,126.507,127.902,142.106,132.136,127.04,144.004,139.269,141.448,143.025,154.495,154.712,165.321,153.83,167.671,168.538,162.916,161.834,156.924,183.69,177.951,174.257,169.991,193.117,188.367,183.316,189.207,192.254,180.005,202.252,203.283,202.471,199.173,195.734
Switzerland,CHE,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Chile,CHL,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Central & South America,CSAM,,,,,,,,1392.228,1483.648,1429.924,1453.637,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.403,8.785,10.898,8.888,11.138,11.019,9.869,8.94,9.834,9.883,11.302,11.235,1906.0509487,1923.6272165,,,,,,
Former Czechoslovakia,CSK,--,--,--,--,--,--,--,--,--,--,--,w,w,w,w,w,w,w,w,w,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Czechia,CZE,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
East,DDR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Germany,DEU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,288.156,310.835,310.414,313.894,302.147,302.83,299.032,322.54,289.642,271.97,272.599,253.385,272.569,267.226,282.563,282.771,274.982,278.906,284.118,286.758,280.562,287.902,289.875,284.198,285.276,285.39,278.774,270.953,277.056,278.243,268.878,271.687,262.901,264.171
West,DEUW,181,213,187,208,225,238,272,319,297,272,249,279.936,276.606,295.359,303.68,303.026,310.433,279.727,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Denmark,DNK,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Spain,ESP,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Estonia,EST,,,,,,,,,,,,,,,,,,--,--,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
European Union,EU27,534,629,555,585,625,593,661,732,678,644,551,992.39,953.402,983.024,1016.558,993.469,1004.754,1021.729,1025.164,1064.759,1052.671,1066.93,1046.218,1035.774,1051.492,1130.093,1042.74,1093.931,1089.078,1067.707,1111.6,1117.623,1174.924,1194.599,1194.929,1230.21,1236.948,1204.124,1150.999,1148.477,1156.24,1163.533,1257.766,1258.39,1208.385,1188.93,1228.531,,,,,
Eurasia,EURA,,,,,,,,,,,,,,,,,,,,2.459,2.723,2.268,2.691,4.432,3.045,3.323,1.742,1.288,1.412,1.292,1.255,1.326,1.669,2.028,1.828,1.37,1.307,1.018,1.337,1.402,4.448,3.857,4.368,2.379,,,,,,,,
Europe,EURO,,,,,,,,,,,,918.993,877.474,896.573,922.797,896.358,905.935,941.633,1221.014,1256.346,1253.559,1275.382,1257.624,1260.979,1273.765,1358.291,1261.014,1324.55,1315.065,1282.472,1325.373,1328.161,1380.41,1413.718,1399.518,1441.673,1434.05,1394.356,1339.756,1348.546,1351.167,1355.612,1463.434,1450.531,,,,,,,,
Finland,FIN,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
France,FRA,201,249,225,234,239,201,226,243,214,193,153,153.006,138.933,127.253,126.963,140.204,138.439,143.17,161.137,156.533,152.544,153.423,155.351,154.406,160.596,168.773,160.276,169.655,165.385,169.893,178.984,176.674,184.778,182.423,179.86,179.207,174.851,168.167,165.042,162.335,167.467,167.82,167.618,162.186,165.655,160.794,158.627,158.446,151.573,151.275,149.335,153.888
United Kingdom,GBR,156,191,165,165,148,157,169,168,143,125,118,129.208,131.308,132.806,132.585,125.834,130.823,103.343,108.57,103.587,109.322,108.944,101.06,103.432,100.042,103.82,101.2,100.43,113.303,103.786,99.817,100.825,95.116,103.253,91.98,93.136,89.153,82.824,79.597,80.474,77.549,78.206,81.252,82.3,80.358,76.38,81.245,85.463,71.306,65.887,72.195,72.397
Greece,GRC,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Hungary,HUN,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Ireland,IRL,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Iceland,ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,ISR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,ITA,152,167,143,143,161,154,163,170,167,179,149,157.841,156.348,154.101,168.428,154.138,162.463,170.916,158.753,172.796,162.936,164.486,162.397,152.373,146.654,152.901,147.913,157.325,151.357,155.785,153.061,153.963,150.881,153.119,151.86,147.684,145.89,142.949,134.611,125.5,125.101,118.552,117.339,124.311,125.084,125.118,128.306,135.834,112.497,120.011,120.486,119.404
Japan,JPN,303,370,375,380,409,413,460,495,482,484,470,483.017,499.526,513.954,544.682,543.022,582.263,572.487,585.872,582.188,597.132,625.195,630.529,651.207,685.267,648.94,628.812,634.09,634.074,615.393,636.288,635.318,612.058,630.848,620.967,629.232,590.804,590.075,592.074,593.719,579.52,580.662,581.981,562.481,562.845,564.84,551.869,532.383,519.386,513.912,509.391,497.779
South Korea,KOR,,,,,,,,,,,,14.624,13.439,21.23,20.379,15.546,21.873,64.203,66.024,77.225,82.736,95.824,91.747,122.841,124.33,128.89,131.645,139.767,142.886,140.357,154.514,149.365,134.893,151.818,143.474,134.919,155.028,165.394,166.822,181.311,184.722,196.771,227.886,230.292,230.627,205.766,206.327,213.507,168.817,173.8,180.917,173.698
Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Luxembourg,LUX,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Latvia,LVA,,,,,,,,,,,,,,,,,,--,--,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Mexico,MEX,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Netherlands,NLD,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
North America,NOAM,,,,,,,,164,161,136,121,1728,1674,1747,1778,1759.232,1742.419,1836.953,1825.946,1786.801,1843.427,1862.13,1759.242,1704.268,1774.64,1854.138,1691.973,1677.082,1806.546,1748.387,1778.294,1839.933,1912.233,1932.573,1872.821,1947.527,1972.203,2015.789,1961.817,2006.47,1956.197,2078.334,2228.57,2275.099,245.303,257.372,,,,,,
Norway,NOR,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
New Zealand,NZL,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
OECD - Asia And Oceania,OEAO,,,,,,,,,,,,543.2,554.9,578.7,608.8,601.1,652.1,680.5,696.3,706.576,727.061,768.25,771.383,822.152,853.556,821.286,807.942,824.756,823.044,796.788,830.538,825.861,787.438,825.163,810.59,812.716,794.128,803.4,808.85,819.937,809.448,822.046,851.074,835.727,,,,,,,,
OECD,OECD,2588,2880,2903,2918,3224,3122,3379,2951.228,2947.648,2818.924,2713.637,3478.119,3391.502,3546.286,3644.843,3591.227,3636.349,3741.936,3746.124,3755.803,3829.663,3909.818,3792.648,3792.752,3906.888,4039.595,3766.508,3817.382,3936.293,3838.9,3944.667,4011.422,4079.006,4172.549,4087.305,4204.43,4208.369,4216.038,4109.386622,4182.653356,4124.713709,4265.170619,4552.990299,4579.28574,4402.921949,4397.476217,4399.178621,4556.799712,4113.36043,3973.721063,3962.048466,3976.867107
OECD - Europe,OEEU,1070,1227,1154,1205,1268,1219,1353,900,821,769,669,1198.929,1154.08,1191.932,1226.477,1199.384,1216.368,1220.785,1221.014,1258.805,1256.282,1277.65,1260.315,1265.411,1276.81,1361.614,1262.756,1325.838,1316.477,1283.764,1332.813,1337.171,1390.023,1424.696,1410.305,1451.502,1443.191,1403.784,1348.739,1357.118,1362.423,1365.655,1474.745,1477.799,1429.082,1410.515,1460.256,1532.21,1336.567,1397.653,1372.558,1391.462
OECD - North America,OENA,,,,,,,,,,,,1728,1674,1747,1778,1759.232,1742.419,1808.633,1801.954,1762.918,1818.869,1836.344,1735.414,1679.68,1751.469,1832.029,1671.907,1658.385,1788.369,1733.784,1761.258,1823.592,1893.142,1913.905,1855.512,1931.324,1959.912,2000.983,1949.98,2001.832,1950.15,2072.989,2222.591,2261.277,,,,,,,,
Non-OPEC,OPNO,2141.307,2408.646,2401.955,2394.81,2660.9,2584.619,2780.862,2951.228,2947.648,2818.924,2713.637,3478.119,3391.502,3525.829,3623.275,3566.641,3619.541,3718.655,3727.14,3760.585,3835.173,3916.433,3799.343,3800.234,3913.409,4045.441,3771.074,3836.079,3954.47,3837.342,3950.048,4011.368,4098.097,4191.217,4104.614,4220.633,4220.66,4233.992,4129.2746219,4192.4653556,4137.9017093,4275.9176186,4564.7822987,4597.9437403,4416.6669487,4411.1232165,4422.0255864,,,,,
Poland,POL,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Portugal,PRT,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Slovakia,SVK,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Slovenia,SVN,,,,,,,,,,,,,,,,,,--,--,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Sweden,SWE,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
Turkiye,TUR,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
United States,USA,1008.307,1073.646,1132.955,1111.81,1311.9,1277.619,1340.862,1392.228,1483.648,1429.924,1453.637,1556.227,1518.769,1592.512,1607.451,1597.232,1581.419,1620.633,1616.954,1591.974,1647.219,1652.785,1562.852,1507.416,1559.759,1646.975,1492.931,1467.547,1586.349,1547.91,1568.303,1644.805,1681.551,1703.049,1647.633,1719.144,1758.336,1769.603,1719.577622,1774.903356,1724.359709,1821.775619,1979.043299,2024.88574,1892.000949,1908.077217,1916.846621,1981.433712,1792.29443,1594.622063,1606.102466,1629.709107
U.S. Territories,USOH,,,,,,,,,,,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
World,WORL,,,,,,,,,,,,3478.119,3391.502,3525.829,3623.275,3566.641,3619.541,3718.655,3727.14,3760.585,3835.173,3916.433,3799.343,3800.234,3913.409,4045.441,3771.074,3836.079,3954.47,3837.342,3950.048,4011.368,4098.097,4191.217,4104.614,4220.633,4220.66,4233.992,4129.2746219,4192.4653556,4137.9017093,4275.9176186,4564.7822987,4597.9437403,,,,,,,,
Australia and New Zealand,WP11,,,,,,,,,,,,44.911,41.721,43.576,44.101,41.812,48.135,44.486,44.549,47.163,47.193,47.231,49.107,48.104,43.959,43.456,47.485,50.899,46.084,41.038,39.736,41.178,40.487,42.497,46.149,48.565,48.296,47.931,49.954,44.907,45.206,44.613,41.207,42.841,41.649,,,,,,,
Canada,WP14,,,,,,,,,,,,128.659,112.215,110.873,128.433,118.522,118.421,143.124,139.815,126.507,127.902,142.106,132.136,127.04,144.004,139.269,141.448,143.025,154.495,154.712,165.321,153.83,167.671,168.538,162.916,161.834,156.924,183.69,177.951,174.257,169.991,193.117,188.367,183.316,189.207,,,,,,,
Japan,WP17,,,,,,,,,,,,483.017,499.526,513.954,544.682,543.022,582.263,572.487,585.872,582.188,597.132,625.195,630.529,651.207,685.267,648.94,628.812,634.09,634.074,615.393,636.288,635.318,612.058,630.848,620.967,629.232,590.804,590.075,592.074,593.719,579.52,580.662,581.981,562.481,562.845,,,,,,,
Mexico,WP18,,,,,,,,,,,,51.752,51.752,51.752,51.752,51.123,51.062,52.937,52.912,52.84,52.151,49.856,48.829,53.627,56.109,54.188,45.931,56.216,55.928,55.726,47.692,49.755,52.323,51.103,55.861,59.234,55.79,55.561,54.269,56.438,58.492,62.717,60.955,58.54,55.265,,,,,,,
Western Europe,WP21,,,,,,,,900,821,769,669,1198.929,1154.08,1191.932,1226.477,1199.384,1216.368,1220.785,1221.014,1258.805,1256.282,1277.65,1260.315,1265.411,1276.81,1361.614,1262.756,1325.838,1316.477,1283.764,1332.813,1337.171,1390.023,1424.696,1410.305,1451.502,1443.191,1403.784,1348.739,1357.118,1362.423,1365.655,1474.745,1477.799,1429.082,1410.478,,,,,,
Eastern Europe and Eurasia,WP24,,,,,,,,,,,,,,,,,,,,2.459,2.723,2.268,2.691,4.432,3.045,3.323,1.742,1.288,1.412,1.292,1.255,1.326,1.669,2.028,1.828,1.37,1.307,1.018,1.337,1.402,4.448,3.857,4.368,2.379,2.539,,,,,,,
South Korea and other OECD Asia,WP26,,,,,,,,,,,,14.624,13.439,21.23,20.379,15.546,21.873,64.203,66.024,77.225,82.736,95.824,91.747,122.841,124.33,128.89,131.645,139.767,142.886,140.357,154.514,149.365,134.893,151.818,143.474,134.919,155.028,165.394,166.822,181.311,184.722,196.771,227.886,230.292,230.627,,,,,,,
United States,WP27,,,,,,,,,,,,1556,1519,1593,1607,1597.232,1581.419,1620.633,1616.954,1591.974,1647.219,1652.785,1562.852,1507.416,1559.759,1646.975,1492.931,1467.547,1586.349,1531.749,1556.648,1628.41,1681.551,1703.049,1647.633,1719.144,1758.336,1772.751,1727.6286219,1780.0773556,1731.5007093,1827.0376186,1984.5712987,2029.5717403,1894.9516411,,,,,,,
